conglo,agb_kg_total,area_m2_total,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,stateProvince,agb_mg_ha,in_window
18612,11753.18939578069,2891,6.73521,-71.7294,10606,2015,Arauca,40.65440814867066,True
187750,80426.37005072857,4305,3.35987,-67.94903,10606,2015,Guainía,186.8208363547702,True
187958,35105.97223477448,4305,1.73971,-74.15965,10606,2016,Caquetá,81.54697383222877,True
188476,5165.306370147222,2030,7.27526,-72.94453,10606,2015,Santander,25.444858966242474,True
188694,3963.9152301485256,1015,6.46518,-75.10474,10606,2016,Antioquia,39.05335202116774,True
189236,10938.031617027113,2583,2.81981,-75.10474,10606,2017,Huila,42.34623157966362,True
190703,166.16014039022204,616,10.38057,-75.10474,10606,2015,Bolívar,2.697404876464643,True
190781,170389.72641809742,4305,6.46518,-76.99493,10606,2017,Chocó,395.7949510292623,True
191098,171092.94427182514,2737,8.4298,-72.47869,10606,2016,Norte de Santander,625.1112322682686,True
191147,100469.30040425352,4305,-0.01547,-70.78431,10606,2015,Vaupés,233.37816586353895,True
191467,2060.3851476830887,1323,10.78561,-73.88962,10606,2017,Magdalena,15.5735838827142,True
192748,6331.686882850781,2184,6.19515,-69.97423,10606,2015,Casanare,28.99124030609332,True
194853,36908.36610716305,3444,5.52008,-68.89412,10606,2015,Vichada,107.16714897550247,True
195625,5236.773440615793,1015,7.00523,-75.50978,10606,2016,Antioquia,51.593827001140816,True
195791,457.04527094228024,308,5.52008,-68.62409,10606,2017,Vichada,14.839132173450658,True
197315,61945.52095878414,4305,-1.23059,-72.6745,10606,2015,Amazonas,143.89203474746606,True
197668,3733.320474709994,1015,4.71,-69.97423,10606,2017,Vichada,36.781482509458066,True
197756,95329.81800265008,4305,-1.90566,-71.7294,10606,2017,Amazonas,221.4397630723579,True
21547,3112.6091326673773,770,10.78561,-75.10474,10606,2016,Atlántico,40.42349522944646,True
22776,9395.18143987206,1722,5.11504,-69.43417,10606,2017,Vichada,54.559706387178046,True
23082,2897.4151933969147,861,3.89992,-72.94453,10606,2015,Meta,33.65174440646823,True
24046,64265.39678412204,4305,1.19965,-70.51428,10606,2015,Vaupés,149.280828766834,True
24601,3673.453000472632,1477,2.54979,-77.94002,10606,2017,Nariño,24.871042657228383,True
28510,89005.77064242322,1722,2.00973,-75.6448,10606,2016,Huila,516.8743939745832,True
28517,20599.88091849428,2891,3.35987,-72.26946,10606,2016,Meta,71.25520898821956,True
28554,20403.21804665711,861,-0.42051,-72.26946,10606,2015,Caquetá,236.97117359648215,True
28869,674.088286327337,770,10.38057,-73.61959,10606,2016,Cesar,8.754393328926454,True
29214,12910.553964546878,4151,10.51558,-73.88962,10606,2017,Magdalena,31.102274065398404,True
2936,9679.154285689461,1015,6.73521,-73.75461,10606,2015,Santander,95.36112596738386,True
29414,1375.102599597603,1323,3.49488,-74.6997,10606,2015,Tolima,10.393821614494355,True
29569,2750.006421512564,308,3.35987,-75.37477,10606,2017,Huila,89.28592277638194,True
30374,20775.722093729317,1722,5.92513,-68.21905,10606,2016,Vichada,120.64879264651172,True
31898,2302.5167011588446,770,5.79011,-73.07954,10606,2017,Boyacá,29.902814300764216,True
31994,32519.195799641726,3136,8.49038,-75.37477,10606,2016,Córdoba,103.69641517742899,True
32748,37568.88530515822,1722,5.11504,-72.80951,10606,2017,Boyacá,218.17006565132533,True
32810,45555.45420806032,4151,2.14475,-76.04984,10606,2017,Huila,109.74573405940814,True
34334,3594.874594461362,2030,4.98003,-72.53948,10606,2017,Casanare,17.70874184463725,True
34383,6510.69415244684,2583,1.46968,-77.12994,10606,2016,Nariño,25.205939421009838,True
34400,86831.69654084007,4305,-2.17568,-71.45938,10606,2017,Amazonas,201.69964353272954,True
34875,842.736565052096,462,1.19965,-77.67,10606,2016,Nariño,18.241051191603812,True
3525,17323.606479049726,2429,5.92513,-74.6997,10606,2015,Antioquia,71.3199113999577,True
35561,13441.627989152661,2184,7.00523,-73.61959,10606,2015,Santander,61.54591570124844,True
3563,4432.357071680298,770,10.38057,-73.07954,10606,2015,Cesar,57.563078852990884,True
36122,11954.69193761576,2737,3.35987,-74.29466,10606,2016,Meta,43.67808526713833,True
36890,1061.9324670464362,154,4.16995,-75.6448,10606,2017,Quindío,68.95665370431402,True
37245,11821.24041772719,2891,7.41027,-73.34957,10606,2016,Santander,40.88979736329017,True
38123,52150.84323677612,4305,2.54979,-77.80501,10606,2016,Cauca,121.14017012026973,True
3827,17633.452236009314,2891,4.71,-76.58989,10606,2017,Chocó,60.994300366687355,True
38328,1451.061592739774,1169,2.95483,-76.18485,10606,2017,Cauca,12.41284510470294,True
38856,37920.244459382484,4305,3.76491,-76.31986,10606,2015,Valle del Cauca,88.08419154328102,True
40057,4339.66285113196,1722,6.06014,-75.23975,10606,2015,Antioquia,25.201294141300583,True
4074,17098.169023590075,1722,5.25006,-69.7042,10606,2017,Vichada,99.29250304059278,True
41557,8367.314004241467,2583,6.33017,-74.56469,10606,2016,Antioquia,32.393782439959224,True
45388,74456.94477662668,4305,4.03494,-67.94903,10606,2015,Vichada,172.9545755554627,True
45589,68340.70543603435,4305,7.41027,-74.02463,10606,2016,Bolívar,158.74728324282077,True
45891,3980.295847732655,1015,4.43998,-69.97423,10606,2015,Vichada,39.21473741608527,True
4637,29963.410002877186,3598,5.38507,-76.31986,10606,2017,Chocó,83.27795998576205,True
46690,120963.37155059582,4305,-2.17568,-71.45938,10606,2017,Amazonas,280.98344146479866,True
46905,11682.17998335516,3136,2.41477,-75.91482,10606,2017,Huila,37.251849436719255,True
47201,79866.16135720976,3444,4.71,-69.29916,10606,2016,Vichada,231.899423220702,True
47388,5261.631567219728,2891,9.84052,-73.88962,10606,2017,Magdalena,18.20004001113707,True
48707,87640.38486529361,4305,1.06464,-70.91932,10606,2016,Vaupés,203.57812976839398,True
4891,5825.107477546602,2184,0.79461,-77.39997,10606,2017,Nariño,26.671737534554037,True
49180,3847.85215059662,861,3.89992,-75.37477,10606,2017,Tolima,44.69050116836957,True
49504,1941.3456627819164,770,6.33017,-71.18935,10606,2017,Casanare,25.21228133483008,True
49920,13991.791226522471,2583,7.54529,-73.07954,10606,2016,Santander,54.16876200744279,True
50086,741.1826757217951,462,10.92062,-74.83471,10606,2015,Atlántico,16.042915058913316,True
50415,1276.0735738324227,616,11.73071,-72.26946,10606,2015,La Guajira,20.715480094682185,True
50577,9943.408088568869,2030,4.57499,-70.24426,10606,2016,Vichada,48.98230585501906,True
51232,30977.190066643878,4305,0.92963,-76.7249,10606,2015,Putumayo,71.95630677501482,True
53128,98381.679694189,4305,-2.98577,-69.97423,10606,2016,Amazonas,228.5288726926574,True
53249,2926.0169283206737,1323,1.87472,-75.77981,10606,2016,Huila,22.11653007045105,True
53851,12037.821664914067,1876,2.6848,-77.67,10606,2016,Cauca,64.16749288333725,True
53963,1620.0645755032592,1169,0.6596,-76.45488,10606,2015,Putumayo,13.858550688650634,True
54977,17896.551877916852,1722,4.03494,-73.75461,10606,2016,Meta,103.92887269405838,True
56724,62915.7736413269,4305,6.19515,-77.39997,10606,2015,Chocó,146.14581565929595,True
57384,22593.593135963776,1722,4.98003,-75.10474,10606,2017,Tolima,131.20553505205444,True
57665,3384.1773124659467,1015,4.30496,-74.83471,10606,2016,Cundinamarca,33.341648398679276,True
58215,5665.806803321169,1722,2.00973,-76.7249,10606,2017,Cauca,32.902478532643265,True
58415,15833.027446865015,2737,8.08534,-75.23975,10606,2015,Córdoba,57.84810904956162,True
