plotID,siteID,eventID,year,plotType,totalSampledAreaTrees,n_tree_stems,n_mapped,frac_stems_unmapped,coverage_ok,agb_mg_ha
GUAN_054,GUAN,vst_GUAN_2021,2021,tower,800.0,25,5,0.8,False,1.0782218273789823
GUAN_055,GUAN,vst_GUAN_2016,2016,tower,800.0,76,30,0.6052631578947368,False,4.64672614564482
GUAN_055,GUAN,vst_GUAN_2021,2021,tower,800.0,29,8,0.7241379310344828,False,0.40325831283714186
GUAN_056,GUAN,vst_GUAN_2016,2016,tower,800.0,92,18,0.8043478260869565,False,0.04367286277809662
GUAN_056,GUAN,vst_GUAN_2021,2021,tower,800.0,48,9,0.8125,False,0.022801076003016556
GUAN_057,GUAN,vst_GUAN_2016,2016,tower,800.0,22,9,0.5909090909090908,False,0.21779571676489662
GUAN_057,GUAN,vst_GUAN_2021,2021,tower,800.0,18,5,0.7222222222222222,False,0.14409222569244123
GUAN_058,GUAN,vst_GUAN_2016,2016,tower,800.0,80,20,0.75,False,6.155322331742745
GUAN_058,GUAN,vst_GUAN_2021,2021,tower,800.0,38,8,0.7894736842105263,False,2.293043841096537
GUAN_059,GUAN,vst_GUAN_2016,2016,tower,800.0,58,12,0.7931034482758621,False,0.2851950441659924
GUAN_059,GUAN,vst_GUAN_2021,2021,tower,800.0,27,4,0.8518518518518519,False,0.08004239040240724
GUAN_060,GUAN,vst_GUAN_2016,2016,tower,800.0,75,2,0.9733333333333334,False,0.08306761029804378
GUAN_060,GUAN,vst_GUAN_2021,2021,tower,800.0,39,1,0.9743589743589743,False,0.03679478817019367
GUAN_061,GUAN,vst_GUAN_2016,2016,tower,800.0,30,6,0.8,False,0.33346839250524796
GUAN_061,GUAN,vst_GUAN_2021,2021,tower,800.0,8,1,0.875,False,0.026431066165254598
HARV_001,HARV,vst_HARV_2014,2014,distributed,400.0,91,89,0.02197802197802201,True,123.80250267232707
HARV_001,HARV,vst_HARV_2019,2019,distributed,400.0,20,20,0.0,True,174.524047304673
HARV_001,HARV,vst_HARV_2023,2023,distributed,400.0,26,26,0.0,True,189.32632461673205
HARV_002,HARV,vst_HARV_2015,2015,distributed,400.0,29,29,0.0,True,249.41955453935844
HARV_002,HARV,vst_HARV_2019,2019,distributed,400.0,38,38,0.0,True,170.28641219448625
HARV_002,HARV,vst_HARV_2023,2023,distributed,400.0,40,40,0.0,True,189.6135917679846
HARV_004,HARV,vst_HARV_2015,2015,distributed,400.0,15,15,0.0,True,227.23363277532485
HARV_004,HARV,vst_HARV_2019,2019,distributed,400.0,13,13,0.0,True,103.81984033904669
HARV_004,HARV,vst_HARV_2023,2023,distributed,400.0,8,8,0.0,True,91.05357368578757
HARV_005,HARV,vst_HARV_2014,2014,distributed,400.0,85,84,0.0117647058823529,True,275.6309325656979
